[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /block/transaction        --> server/controller.PackTransaction (3 handlers)
[GIN-debug] POST   /block/account            --> server/controller.PackAccount (3 handlers)
[GIN-debug] POST   /block/upload             --> server/controller.AppendBlock (3 handlers)
[GIN-debug] POST   /block/uploadproposal     --> server/controller.MultiCastProposal (3 handlers)
[GIN-debug] POST   /block/witness            --> server/controller.PackTransaction (3 handlers)
[GIN-debug] POST   /block/uploadleader       --> server/controller.AppendBlock (3 handlers)
[GIN-debug] GET    /shard/shardNum           --> server/controller.PreRegister (3 handlers)
[GIN-debug] GET    /shard/height             --> server/controller.GetHeight (3 handlers)
[GIN-debug] GET    /shard/register           --> server/controller.RegisterCommunication (3 handlers)
[GIN-debug] POST   /shard/vote               --> server/controller.SendVote (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8088
[GIN] 2023/09/01 - 18:02:14 | 200 |    3.277597ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:15 | 200 |   33.007296ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:15 | 200 |    2.601409ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:15 | 200 |    3.522303ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:15 | 200 |     2.27773ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:15 | 200 |    4.454383ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:15 | 200 |    2.563731ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:15 | 200 |    2.929215ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:15 | 200 |     7.49906ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:15 | 200 |    6.684288ms |       127.0.0.1 | GET      "/shard/shardNum"
[GIN] 2023/09/01 - 18:02:15 | 200 |   10.095415ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:15 | 200 |    5.474482ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:15 | 200 |    4.086672ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:15 | 200 |    4.550267ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:16 | 200 |    6.993579ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:16 | 200 |   10.321055ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:16 | 200 |    9.356007ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:16 | 200 |    7.931893ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:16 | 200 |    8.117177ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:16 | 200 |   10.732336ms |       127.0.0.1 | GET      "/shard/register"
[GIN] 2023/09/01 - 18:02:16 | 200 |    9.431006ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:16 | 200 |   10.905899ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.225742ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:16 | 200 |   11.552321ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:16 | 200 |   11.883342ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:16 | 200 |   12.255231ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:16 | 200 |   10.515954ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:16 | 200 |     386.822µs |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.473188ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:16 | 200 |    9.914786ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:16 | 200 |      359.79µs |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:16 | 200 |    2.198156ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.916494ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:16 | 200 |   13.335185ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:16 | 200 |   13.366952ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:16 | 200 |   13.432584ms |       127.0.0.1 | POST     "/block/transaction"
[GIN] 2023/09/01 - 18:02:16 | 200 |     442.547µs |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.972862ms |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:16 | 200 |    4.933492ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:16 | 200 |    5.358747ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:16 | 200 |    2.887538ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:16 | 200 |    3.275425ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:16 | 200 |    6.069609ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:16 | 200 |     735.087µs |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.044582ms |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.367798ms |       127.0.0.1 | POST     "/block/uploadproposal"
